drug,gene,metric,spearman_r,spearman_p,pearson_r,pearson_p,n_cell_lines
anlotinib,CRP,ic50,-0.008318723690948325,0.8404698126180166,-0.009433385177632737,0.8194396463187439,716
anlotinib,CRP,auc,0.06397146277731383,0.08716954031034782,0.015888546894858684,0.6712504189206463,716
anlotinib,HNF1A,ic50,0.041231219883326696,0.31823043411627044,0.09409017571783515,0.022502661327429466,716
anlotinib,HNF1A,auc,0.009038611627669706,0.8092147960220262,0.02626774105542063,0.48282269594388944,716
anlotinib,MYC,ic50,-0.013298962691771016,0.7475960946744226,-0.01047367483252425,0.7999285057492191,716
anlotinib,MYC,auc,-0.009390605696822886,0.8019362822457241,-0.02054157509360237,0.5831752264731791,716
anlotinib,ERBB2,ic50,-0.0017292257794505655,0.9666244135344649,-0.0012545264658438016,0.9757831922534708,716
anlotinib,ERBB2,auc,-0.035307449214578505,0.345473067750193,-0.03252084665160154,0.38489747327739154,716
dinaciclib,CRP,ic50,0.02519854224657142,0.41691775972238043,0.015587907030849092,0.6155825017352018,1048
dinaciclib,CRP,auc,0.03471356364597101,0.2615337022719251,0.03612215245186218,0.2426607789009888,1048
dinaciclib,HNF1A,ic50,0.042600929307769105,0.16981149435546877,0.025375065367760852,0.4136605767743923,1048
dinaciclib,HNF1A,auc,0.053364615824032145,0.08421574912058231,0.048351101508252475,0.11774504808513026,1048
dinaciclib,MYC,ic50,-0.14237740201082988,4.036127452859968e-06,-0.08155996545074526,0.008502093483953747,1048
dinaciclib,MYC,auc,-0.15931715931696086,2.165486904805398e-07,-0.14160529905641983,4.186524246919173e-06,1048
dinaciclib,ERBB2,ic50,0.12439915852600728,5.756840583249069e-05,0.12167124019021607,8.365378172603705e-05,1048
dinaciclib,ERBB2,auc,0.12170325871673511,7.819439530633639e-05,0.13831761218473868,6.989565230758502e-06,1048
talazoparib,CRP,ic50,0.06464631394138398,0.0184252952565949,-0.004616588884513251,0.8664712792889051,1655
talazoparib,CRP,auc,0.08702536925119186,0.0003935222181884382,0.05984895328007094,0.014887673877122004,1655
talazoparib,HNF1A,ic50,0.09544491301324393,0.0004936657312616101,-0.008584549747124715,0.7545352451797035,1655
talazoparib,HNF1A,auc,0.10172672282443616,3.382635220917814e-05,0.10135913076625966,3.612074527763514e-05,1655
talazoparib,MYC,ic50,-0.054617586271037785,0.046511540621474674,-0.00912758612771385,0.7395539438842996,1655
talazoparib,MYC,auc,-0.06111527284098952,0.012892725111480674,-0.04092183328018427,0.09607073710209191,1655
talazoparib,ERBB2,ic50,0.018929268799788502,0.49051654086376023,0.01091127613717237,0.691062898358403,1655
talazoparib,ERBB2,auc,0.0715672607952063,0.0035795942838135753,0.08599644623001582,0.0004612128223897858,1655
pevonedistat,CRP,ic50,0.005515134380456964,0.8583978189615421,-0.021013997476369933,0.4965863856792239,1131
pevonedistat,CRP,auc,0.004503526163151766,0.8797482014205559,-0.02411035495526672,0.4179053124857987,1131
pevonedistat,HNF1A,ic50,0.03910083986858505,0.20573422684665976,0.07414109476652275,0.016317083821248895,1131
pevonedistat,HNF1A,auc,0.04593087798619948,0.12264214598593721,0.10829017256426349,0.00026373213996082426,1131
pevonedistat,MYC,ic50,-0.08071535311610721,0.008912771247946066,-0.0505641026381394,0.1016768028262204,1131
pevonedistat,MYC,auc,-0.13171854884976794,8.821205966968872e-06,-0.12165219838555268,4.097275165685656e-05,1131
pevonedistat,ERBB2,ic50,0.08840481433437915,0.004163813263026773,0.06200753048025089,0.044658755279055516,1131
pevonedistat,ERBB2,auc,0.14086124718223395,1.9775595417322083e-06,0.14001760368192728,2.2793241325326353e-06,1131
irinotecan,CRP,ic50,0.06845179318496031,0.032052562376371295,-0.011075698620677813,0.7289899712113338,1079
irinotecan,CRP,auc,0.046792862108791675,0.12450940983936847,0.050565755813201996,0.09688878341022181,1079
irinotecan,HNF1A,ic50,0.0692919933017694,0.02999694571957145,0.07075342639889023,0.026690498547540433,1079
irinotecan,HNF1A,auc,0.08830152314964246,0.003697834249139485,0.12498242981957018,3.841139473383979e-05,1079
irinotecan,MYC,ic50,-0.11028453963454554,0.0005394345754206705,-0.05484311538411413,0.08600859854440734,1079
irinotecan,MYC,auc,-0.12981818707732243,1.8904199568475983e-05,-0.10952902596328465,0.0003127503444619689,1079
irinotecan,ERBB2,ic50,0.14744761718148774,3.5234592135007544e-06,0.08317711930831868,0.009150490980013167,1079
irinotecan,ERBB2,auc,0.1847488560267096,9.696454176267708e-10,0.22289567265231325,1.2958627009012556e-13,1079
ruxolitinib,CRP,ic50,-0.06803409046129937,0.6423015770857986,-0.037226637906565205,0.7995362441456834,945
ruxolitinib,CRP,auc,-0.025166820141723986,0.4396715785792381,0.02505889718577752,0.44163624351868,945
ruxolitinib,HNF1A,ic50,-0.020548482035942083,0.888548716055471,-0.047901563549440446,0.7437870095080367,945
ruxolitinib,HNF1A,auc,-0.013236420447964645,0.6844648126608797,0.046955795395972104,0.14920470819476636,945
ruxolitinib,MYC,ic50,-0.29707870911569717,0.03817950802737258,-0.5280482429460014,9.641804302455127e-05,945
ruxolitinib,MYC,auc,-0.10082936655498055,0.0019131726966292923,-0.06679899573757103,0.040069319255642576,945
ruxolitinib,ERBB2,ic50,0.23462176305633387,0.10465468454851184,-0.054482778200960716,0.7100340182561011,945
ruxolitinib,ERBB2,auc,0.0985138246068803,0.002431259381758591,0.10050243612284201,0.0019795973478376715,945
litronesib,CRP,ic50,0.05730545723899264,0.07503643545054374,-0.005505486907846866,0.8643077027499751,1128
litronesib,CRP,auc,0.11809527238271117,7.013236730300415e-05,0.03753726325662513,0.2077552739033216,1128
litronesib,HNF1A,ic50,0.1843821166007132,7.794632952929608e-09,-0.015623990818241585,0.6276742589408268,1128
litronesib,HNF1A,auc,0.11787887774714938,7.232652106833193e-05,0.14355863941404381,1.2901174787554353e-06,1128
litronesib,MYC,ic50,0.004579414716774395,0.8869637799165263,0.007862196334974399,0.807193108422634,1128
litronesib,MYC,auc,-0.007390098960317539,0.8041886230315289,-0.016930846014472024,0.5700045735925572,1128
litronesib,ERBB2,ic50,-0.028734972769378222,0.37232521342532005,-0.0016250803758336516,0.9597693603967583,1128
litronesib,ERBB2,auc,-0.021051507561562762,0.4799865312590246,-0.03063335890591815,0.3039763180312417,1128
BIIB021,CRP,ic50,0.03406198380500044,0.2676396196456536,0.02846922444326578,0.35422641937075794,1084
BIIB021,CRP,auc,0.03213683138390252,0.2904521161902874,0.002465063918239644,0.9353889621856439,1084
BIIB021,HNF1A,ic50,0.0047242678911299865,0.8778439049825204,-0.025027526115632602,0.415422663621448,1084
BIIB021,HNF1A,auc,-0.005775621371375342,0.8493564257102172,-0.004706516926574585,0.8769946259810104,1084
BIIB021,MYC,ic50,-0.1351821942194914,9.94368493169615e-06,-0.030623421675888024,0.3189808197679265,1084
BIIB021,MYC,auc,-0.14739032543333175,1.0950281840165557e-06,-0.11851885652946595,9.175330664994949e-05,1084
BIIB021,ERBB2,ic50,0.019272116556388115,0.5306141269309599,-0.004522224316534021,0.8830298008560233,1084
BIIB021,ERBB2,auc,0.017713756060951855,0.5601738606524349,0.05908845984047316,0.05178791010631738,1084
imiquimod,CRP,auc,-0.017600790095512665,0.5740956246665233,-0.024482805568328915,0.434306451010188,1022
imiquimod,HNF1A,auc,0.01919455339242707,0.5399218926316592,0.015616137981508764,0.6180276430200013,1022
imiquimod,MYC,auc,-0.02834221221427275,0.3653924594177342,-0.0008172615146725525,0.9791816868235812,1022
imiquimod,ERBB2,auc,0.05463775474024102,0.08083414710993717,0.06007331433488482,0.05487663703346796,1022
exisulind,CRP,auc,0.044958355052571806,0.2921297263399466,-0.0041187736336579725,0.9231533158084153,551
exisulind,HNF1A,auc,-0.015852059941697853,0.7104290902653579,-0.01777963774626004,0.6770928284273875,551
exisulind,MYC,auc,0.0754469138959365,0.0768112106344782,-0.07251270630107036,0.08903830296574268,551
exisulind,ERBB2,auc,-0.14557523678645182,0.0006088071400237474,-0.07749316840368353,0.06912064941432135,551
pelitinib,CRP,ic50,0.024272499916269973,0.40383395337859557,0.004823143761599792,0.8682696316039796,1195
pelitinib,CRP,auc,0.02038921460434857,0.4813295984808266,-0.012094392368828671,0.6761913149766366,1195
pelitinib,HNF1A,ic50,-0.03749221104802526,0.19714899551482548,0.03981345666942854,0.17080297498786953,1195
pelitinib,HNF1A,auc,-0.05746288154504853,0.0470351535453512,0.0033433276889042983,0.9080851975689986,1195
pelitinib,MYC,ic50,-0.10767763598957654,0.0002043589516378756,-0.05417940981922647,0.062256582944016564,1195
pelitinib,MYC,auc,-0.11449415432943245,7.283447107577585e-05,-0.09554188436396871,0.0009434250900456599,1195
pelitinib,ERBB2,ic50,-0.20804355012100903,4.711059292517601e-13,-0.15433020548102322,9.343647503569262e-08,1195
pelitinib,ERBB2,auc,-0.19894389212719793,3.934124467291378e-12,-0.17146520682285937,2.4408096984494937e-09,1195
bexarotene,CRP,ic50,-0.11508745331936052,0.456934694123618,-0.04326586759520598,0.7803508835027367,1013
bexarotene,CRP,auc,-0.005458405116750021,0.8622465877062491,-0.055004913570574444,0.0801457399182238,1013
bexarotene,HNF1A,ic50,0.08180765858797842,0.5975584259543195,-0.07162026068210645,0.6440866879726144,1013
